,1,4,35,36.2,230,"Car","Semi-Automatic",6,"All Wheel Drive","Not eqipped",3.91,36.6,3875,245.65,0.0178,0.00005,0.0002,"Three-way catalyst",6
,1,4,36,40.5,300,"Both","Manual",6,"2-Wheel Drive, Rear","Not eqipped",3.08,36.1,3875,218.65,0.2792,0.00792,0.0027,"Three-way catalyst",6
,1,4,37,36.4,300,"Car","Manual",6,"2-Wheel Drive, Rear","Not eqipped",3.08,37.1,4250,244.63,0.0207,0.00046,0.0054,,
,1,4,38,37.3,300,"Both","Manual",6,"All Wheel Drive","Not eqipped",3.08,36.1,4000,237.67,0.1636,0.00415,0.0018,"Three-way catalyst",6
,1,4,39,40.8,300,"Both","Semi-Automatic",6,"2-Wheel Drive, Rear","Not eqipped",3.46,33.1,3875,216.37,0.5773,0.0904,0.0022,"Three-way catalyst",6
,1,4,40,51.1,265,"Car","Automatic",6,"2-Wheel Drive, Rear","Not eqipped",2.81,26.9,4000,199.2551875,0.0047062,0.0072388,0.0084851,"Oxidation catalyst",6
,1,4,41,37.2,300,"Car","Manual",6,"2-Wheel Drive, Rear","Not eqipped",3.08,37.1,3875,237.63,0,0.00089,0.0036,,
,1,4,42,37.1,300,"Both","Semi-Automatic",6,"All Wheel Drive","Not eqipped",3.46,33.1,4000,238.1,0.3927,0.08539,0.0024,"Three-way catalyst",6
,1,4,43,35.8,320,"Car","Semi-Automatic",7,"2-Wheel Drive, Rear","Not eqipped",2.56,35.5,4250,248.23,0,0.00043,0.0018,"Three-way catalyst",6
,1,4,44,31.9,320,"Car","Semi-Automatic",7,"2-Wheel Drive, Rear","Not eqipped",2.56,35.5,3875,279.47,0.0149,0.00395,0.0048,"Three-way catalyst",6
,1,4,45,43.2,300,"Car","Semi-Automatic",8,"2-Wheel Drive, Rear","Not eqipped",3.08,20.7,4500,206.37,0.033,0.00038,0.0012,"Three-way catalyst",6
,1,4,46,40.9,300,"Car","Semi-Automatic",8,"2-Wheel Drive, Rear","Not eqipped",3.08,25.7,4750,217.48,0.0508,0.00065,0.0019,"Three-way catalyst",6
,1,4,47,38.9,300,"Car","Semi-Automatic",8,"All Wheel Drive","Not eqipped",3.08,26.7,4500,228.14,0.223,0.03251,0.0041,"Three-way catalyst",6
,1,4,48,38.1,300,"Car","Semi-Automatic",8,"All Wheel Drive","Not eqipped",3.08,25.6,5000,232.91,0.1867,0.00129,0.0036,"Three-way catalyst",6
,1,4,49,41.9,300,"Car","Semi-Automatic",8,"2-Wheel Drive, Rear","Not eqipped",3.08,26.7,4500,212.46,0.035,0.00171,0.0014,"Three-way catalyst",6
,1,4,50,34.9,400,"Car","Automatic",8,"2-Wheel Drive, Rear","Not eqipped",2.81,24.4,4750,253.61,0.1448,0.01558,0.0031,"Three-way catalyst",8
,1,4,51,31.6,400,"Car","Automatic",8,"2-Wheel Drive, Rear","Not eqipped",3.08,25.7,5250,280.57,0.0236,0.01195,0.0238,"Three-way catalyst",8
,1,4,52,33.1,400,"Car","Automatic",8,"All Wheel Drive","Not eqipped",3.08,26.7,4750,267.74,0.3737,0.0064,0.0025,"Three-way catalyst",8
,1,4,53,30.3,400,"Car","Automatic",8,"All Wheel Drive","Not eqipped",3.08,25.7,5250,291.82,0.532,0.00382,0.0033,"Three-way catalyst",8
,1,4,54,30.8,400,"Car","Automatic",8,"All Wheel Drive","Not eqipped",3.08,25.7,5250,287.62,0.1972,0.02531,0.0029,"Three-way catalyst",8
,1,4,55,34.9,315,"Car","Semi-Automatic",6,"2-Wheel Drive, Rear","Not eqipped",3.46,29.9,4750,254.84,0.0457,0.00334,0.003,"Three-way catalyst",6
,1,4,56,27.7,408,"Car","Automatic",8,"All Wheel Drive","Not eqipped",3.08,29.9,5250,317.62,0.468,0.10913,0.0031,"Three-way catalyst",8
,1,4,57,30.4,400,"Car","Semi-Automatic",6,"2-Wheel Drive, Rear","Not eqipped",3.46,29.9,4750,292.16,0.1132,0.00607,0.0103,"Three-way catalyst",8
,1,4,58,26.1,535,"Car","Automatic",8,"2-Wheel Drive, Rear","Not eqipped",2.81,23.4,5250,341.2947673,0.0822936,0.0001299,0.0027922,"Three-way catalyst",12
,1,4,59,34.1,455,"Car","Automatic",8,"2-Wheel Drive, Rear","Not eqipped",2.81,23.4,5000,259.69,0.2303,0.00267,0.004,"Three-way catalyst",8
,1,4,60,33.3,455,"Car","Automatic",8,"2-Wheel Drive, Rear","Not eqipped",2.81,23.4,5250,266.3503316,0.3847146,0.0111241,0.0084647,"Three-way catalyst",8
,1,4,61,26.6,400,"Truck","Automatic",7,"All Wheel Drive","Not eqipped",3.64,31.2,6000,334.37,0.5318,0.043,0.0048,"Three-way catalyst",8
