"YEAR","MFR","MODEL","TYPE","HP","CYLINDERS","TRANSMISSION","NUM_GEARS","DRIVETRAIN","CURBWEIGHT","AXELRATIO","NVRATIO","SIL","THC","CO","CO2","NOx","MPG","AFTERTREATMENT_DEVICE"
2011,"Audi","A3","Car",200,,"Manual",6,"2-Wheel Drive, Front",3375,3.94,40.4,"Not eqipped",0.0015,0.19,217,0.003,40.9,
2011,"Audi","A4 QUATTRO","Car",211,,"Manual",6,"All Wheel Drive",3875,3.46,34.8,"Not eqipped",0.0106,0.19,204,0.001,43.3,
2011,"Audi","A3 QUATTRO","Car",200,,"Automatic",6,"All Wheel Drive",3875,4.06,40.6,"Not eqipped",0.0055,0.23,239,0.003,37.1,
2011,"Audi","A3","Car",200,,"Manual",6,"2-Wheel Drive, Front",3625,3.94,40.4,"Not eqipped",0.001,0.24,220,0.0015,40.3,
2011,"Audi","A3","Car",200,,"Manual",6,"2-Wheel Drive, Front",3625,3.94,40.4,"Not eqipped",0.0014,0.24,214,0.011,41.4,
2011,"Audi","Q5","Truck",270,6,"Automatic",6,"All Wheel Drive",4500,4.22,35.2,"Not eqipped",0.0007,0.26,287,0.005,30.7,"Three-way catalyst"
2011,"Audi","S4","Car",333,6,"Automatic",7,"All Wheel Drive",4250,3.88,32.3,"Not eqipped",0.0114,0.28,252,0.004,35,"Three-way catalyst"
2011,"Audi","S4","Car",333,6,"Manual",6,"All Wheel Drive",4250,3.68,38.7,"Not eqipped",0.0091,0.3,259,0.004,34.1,"Three-way catalyst"
2011,"Audi","A8L","Car",372,8,"Automatic",8,"All Wheel Drive",4750,3.2,26.7,"Not eqipped",0.0270728,0.302209,259.6354973,0.0070595,34.1,"Three-way catalyst"
2011,"Audi","S4","Car",333,6,"Automatic",7,"All Wheel Drive",4750,3.88,32.3,"Not eqipped",0.0135,0.33,260,0.008,34,"Three-way catalyst"
2011,"Audi","A6 QUATTRO","Car",300,6,"Automatic",6,"All Wheel Drive",4500,2.86,27,"Not eqipped",0.0082,0.34,253,0.003,34.8,"Three-way catalyst"
2011,"Audi","A6","Both",265,6,"Continuously Variable",1,"2-Wheel Drive, Front",4250,4.88,26.7,"Not eqipped",0.011,0.35,216,0.004,40.8,"Three-way catalyst"
2011,"Audi","R8","Car",430,8,"Automated Manual",6,"All Wheel Drive",4000,4.57,43.6,"Not eqipped",0.061,0.35,318,0.007,27.9,"Three-way catalyst"
